name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,recruiting_rating,national_rank,state,followers,headshot_url,profile_url,category
AJ Dybantsa,Utah Prep,SF,4206384,2.0,2025,5.0,99.7334677419355,1.0,UT,834800,https://on3static.com/uploads/assets/348/293/293348.jpg,https://www.on3.com/db/aj-dybantsa-156943/,college_basketball
JT Toppin,Waxahachie Faith Family Academy,PF,2949102,8.0,2023,3.0,90.8621195652174,133.0,TX,18420,https://on3static.com/uploads/assets/468/137/137468.jpeg,https://www.on3.com/db/jt-toppin-155447/,college_basketball
Cameron Boozer,Columbus,PF,2190090,15.0,2025,5.0,99.69314516129032,3.0,FL,132919,https://on3static.com/uploads/assets/62/207/207062.jpg,https://www.on3.com/db/cameron-boozer-150005/,college_basketball
Yaxel Lendeborg,Pennsauken,PF,2095779,19.0,2021,,,,,46148,https://on3static.com/uploads/assets/632/294/294632.png,https://www.on3.com/db/yaxel-lendeborg-174590/,college_basketball
Morez Johnson,Thornton Township,PF,2083031,21.0,2024,4.0,96.77018847909287,29.0,IL,22792,https://on3static.com/uploads/assets/459/433/433459.png,https://www.on3.com/db/morez-johnson-147589/,college_basketball
Jayden Quaintance,Word Of God Christian Academy,PF,2015590,22.0,2024,5.0,98.87822580645162,7.0,NC,6186,https://on3static.com/uploads/assets/223/473/473223.png,https://www.on3.com/db/jayden-quaintance-159196/,college_basketball
Braden Smith,Westfield,PG,1799114,29.0,2022,3.0,85.425,209.0,IN,35298,https://on3static.com/uploads/assets/972/528/528972.jpg,https://www.on3.com/db/braden-smith-11729/,college_basketball
Kingston Flemings,William J. Brennan,PG,1683028,30.0,2025,4.0,97.5007722799344,17.0,TX,8696,https://on3static.com/uploads/assets/851/237/237851.jpeg,https://www.on3.com/db/kingston-flemings-178202/,college_basketball
Denzel Aberdeen,Dr. Phillips,CG,1600000,35.0,2022,3.0,90.00156595431098,143.0,FL,0,https://on3static.com/uploads/assets/768/441/441768.png,https://www.on3.com/db/denzel-aberdeen-147282/,college_basketball
Caleb Wilson,Holy Innocents Episcopal School,PF,1483543,43.0,2025,5.0,99.35,5.0,GA,21287,https://on3static.com/uploads/assets/129/533/533129.jpg,https://www.on3.com/db/caleb-wilson-152845/,college_basketball
