name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,recruiting_rating,national_rank,state,followers,headshot_url,profile_url,category
Arch Manning,Isidore Newman,QB,5440974,1.0,2023,5.0,99.5258064516129,1.0,LA,512477,https://on3static.com/uploads/assets/3/173/173003.jpeg,https://www.on3.com/db/arch-manning-7353/,college_football
Jeremiah Smith,Chaminade-Madonna Prep,WR,4199730,3.0,2024,5.0,99.61266129032258,1.0,FL,874135,https://on3static.com/uploads/assets/209/342/342209.jpeg,https://www.on3.com/db/jeremiah-smith-60214/,college_football
Sam Leavitt,West Linn,QB,4029364,4.0,2023,4.0,89.49021739130434,381.0,OR,39580,https://on3static.com/uploads/assets/799/349/349799.jpg,https://www.on3.com/db/sam-leavitt-104361/,college_football
Brendan Sorsby,Lake Dallas,QB,3074907,5.0,2022,3.0,82.98636363636363,1357.0,TX,8460,https://on3static.com/uploads/assets/522/570/570522.png,https://www.on3.com/db/brendan-sorsby-13764/,college_football
Bryce Underwood,Belleville High School,QB,3056431,6.0,2025,5.0,99.8691935483871,1.0,MI,312484,https://on3static.com/uploads/assets/804/389/389804.jpg,https://www.on3.com/db/bryce-underwood-15949/,college_football
Dante Moore,Martin Luther King Jr.,QB,2994313,7.0,2023,5.0,99.22137096774195,3.0,MI,69195,https://on3static.com/uploads/assets/495/245/245495.jpg,https://www.on3.com/db/dante-moore-29804/,college_football
Cam Coleman,Central,WR,2860981,9.0,2024,5.0,99.22225806451614,4.0,AL,65481,https://on3static.com/uploads/assets/602/303/303602.png,https://www.on3.com/db/cam-coleman-154787/,college_football
LaNorris Sellers,South Florence,QB,2715179,10.0,2023,4.0,91.12853260869566,254.0,SC,74591,https://on3static.com/uploads/assets/0/257/257000.png,https://www.on3.com/db/lanorris-sellers-145821/,college_football
Drew Mestemaker,Vandegrift,QB,2489858,11.0,2024,,,,,7338,https://on3static.com/uploads/assets/946/510/510946.png,https://www.on3.com/db/drew-mestemaker-269959/,college_football
Dylan Stewart,Friendship Collegiate Academy,EDGE,2479022,12.0,2024,5.0,98.31854838709678,17.0,DC,38923,https://on3static.com/uploads/assets/510/303/303510.png,https://www.on3.com/db/dylan-stewart-147687/,college_football
Julian Sayin,Carlsbad,QB,2393862,13.0,2024,5.0,98.60774193548386,8.0,CA,66734,https://on3static.com/uploads/assets/658/332/332658.png,https://www.on3.com/db/julian-sayin-68682/,college_football
Josh Hoover,Rockwall-Heath,QB,2289390,14.0,2022,3.0,86.65,714.0,TX,12958,https://on3static.com/uploads/assets/11/72/72011.jpeg,https://www.on3.com/db/josh-hoover-67226/,college_football
Darian Mensah,St Joseph,QB,2161001,16.0,2023,3.0,80.9090909090909,2014.0,CA,29381,https://on3static.com/uploads/assets/133/392/392133.jpg,https://www.on3.com/db/darian-mensah-153939/,college_football
Jayden Maiava,Kaimuki,QB,2159056,17.0,2022,3.0,85.025,968.0,HI,4360,https://on3static.com/uploads/assets/1/177/177001.png,https://www.on3.com/db/jayden-maiava-58668/,college_football
Mason Heintschel,Clay,QB,2141088,18.0,2025,3.0,87.74,664.0,OH,1810,https://on3static.com/uploads/assets/407/302/302407.png,https://www.on3.com/db/mason-heintschel-237555/,college_football
CJ Bailey,Chaminade-Madonna Prep,QB,2086187,20.0,2024,3.0,89.11,438.0,FL,43117,https://on3static.com/uploads/assets/344/297/297344.png,https://www.on3.com/db/cj-bailey-151582/,college_football
John Mateer,Little Elm,QB,1998245,23.0,2022,3.0,81.43409090909091,1678.0,TX,45747,https://on3static.com/uploads/assets/299/383/383299.png,https://www.on3.com/db/john-mateer-63401/,college_football
David Stone,IMG Academy,DL,1906501,25.0,2024,5.0,98.50693548387096,9.0,FL,57374,https://on3static.com/uploads/assets/947/331/331947.png,https://www.on3.com/db/david-stone-32134/,college_football
Malik Washington,Archbishop Spalding,QB,1903719,26.0,2025,4.0,93.97978260869564,105.0,MD,11994,https://on3static.com/uploads/assets/619/229/229619.png,https://www.on3.com/db/malik-washington-153853/,college_football
Byrum Brown,Rolesville,QB,1866346,27.0,2022,3.0,84.05,1158.0,NC,3111,https://on3static.com/uploads/assets/671/494/494671.png,https://www.on3.com/db/byrum-brown-16332/,college_football
Jaron-Keawe Sagapolutele,James Campbell,QB,1811056,28.0,2025,4.0,96.15399193548386,47.0,HI,8143,https://on3static.com/uploads/assets/779/365/365779.jpg,https://www.on3.com/db/jaron-keawe-sagapolutele-158482/,college_football
Jordan Seaton,IMG Academy,OT,1664984,32.0,2024,5.0,98.31370967741935,18.0,FL,79878,https://on3static.com/uploads/assets/249/342/342249.png,https://www.on3.com/db/jordan-seaton-65999/,college_football
Ryan Williams,Saraland,WR,1611211,34.0,2024,5.0,98.97153225806451,5.0,AL,1225851,https://on3static.com/uploads/assets/211/342/342211.jpeg,https://www.on3.com/db/ryan-williams-152310/,college_football
Trinidad Chambliss,Forest Hills Northern,QB,1593846,36.0,2021,,,,,0,https://on3static.com/uploads/assets/763/438/438763.jpg,https://www.on3.com/db/trinidad-chambliss-250566/,college_football
Caleb Downs,Mill Creek,S,1568670,37.0,2023,5.0,99.0616935483871,5.0,GA,300240,https://on3static.com/uploads/assets/608/225/225608.jpeg,https://www.on3.com/db/caleb-downs-16957/,college_football
Carson Beck,Mandarin,QB,1564905,38.0,2020,4.0,91.27644927536232,225.0,FL,166931,https://on3static.com/uploads/dev/assets/526/2/2526.jpg,https://www.on3.com/db/carson-beck-18711/,college_football
Colin Simmons,Duncanville,EDGE,1544073,39.0,2024,5.0,98.36129032258064,15.0,TX,189828,https://on3static.com/uploads/assets/585/410/410585.jpg,https://www.on3.com/db/colin-simmons-25089/,college_football
Conner Weigman,Bridgeland,QB,1523027,40.0,2022,5.0,97.07705995792429,29.0,TX,51084,https://on3static.com/uploads/assets/911/71/71911.jpeg,https://www.on3.com/db/conner-weigman-25459/,college_football
Evan Stewart,Liberty,WR,1487578,42.0,2022,5.0,98.4280767882188,8.0,TX,2408811,https://on3static.com/uploads/assets/740/349/349740.jpg,https://www.on3.com/db/evan-stewart-43427/,college_football
Princewill Umanmielen,Manor,EDGE,1409339,48.0,2023,4.0,91.50217391304348,227.0,TX,5189,https://on3static.com/uploads/assets/649/336/336649.png,https://www.on3.com/db/princewill-umanmielen-147578/,college_football
Rocco Becht,Wiregrass Ranch,QB,1393969,49.0,2022,3.0,87.30597826086957,625.0,FL,26881,https://on3static.com/uploads/assets/376/414/414376.png,https://www.on3.com/db/rocco-becht-101459/,college_football
Noah Fifita,Servite,QB,1361204,51.0,2022,3.0,87.85,546.0,CA,29648,https://on3static.com/uploads/assets/405/414/414405.png,https://www.on3.com/db/noah-fifita-93597/,college_football
CJ Carr,Saline,QB,1336404,53.0,2024,4.0,95.30059782608696,68.0,MI,35240,https://on3static.com/uploads/assets/387/331/331387.png,https://www.on3.com/db/cj-carr-23576/,college_football
Duce Robinson,Pinnacle,WR,1336221,54.0,2023,5.0,97.47824333800841,23.0,AZ,20119,https://on3static.com/uploads/assets/962/218/218962.png,https://www.on3.com/db/duce-robinson-39307/,college_football
Ryan Wingo,St. Louis University,WR,1330080,57.0,2024,4.0,96.6979347826087,38.0,MO,39685,https://on3static.com/uploads/assets/181/194/194181.png,https://www.on3.com/db/ryan-wingo-103907/,college_football
Malachi Toney,American Heritage,WR,1328339,58.0,2025,3.0,89.33717391304349,420.0,FL,136392,https://on3static.com/uploads/assets/806/219/219806.jpg,https://www.on3.com/db/malachi-toney-158769/,college_football
