name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,recruiting_rating,national_rank,state,followers,headshot_url,profile_url,category
Tyler Sandoval,Chaminade,AT,250268,,2019,,,,,673180,https://on3static.com/uploads/assets/451/236/236451.png,https://www.on3.com/db/tyler-sandoval-238163/,college_mens_lacrosse
Mitchell Pehlke,Riverside,AT,0,,2020,,,,,160279,https://on3static.com/uploads/assets/181/114/114181.jpg,https://www.on3.com/db/mitchell-pehlke-163224/,college_mens_lacrosse
Joseph Spallina,Mount Sinai,AT,0,,2022,,,,,34492,https://on3static.com/uploads/assets/863/231/231863.png,https://www.on3.com/db/joseph-spallina-213017/,college_mens_lacrosse
Connor Shellenberger,St. Anne's-Belfield School,AT,0,,2019,,,,,21144,https://on3static.com/uploads/assets/997/152/152997.png,https://www.on3.com/db/connor-shellenberger-177385/,college_mens_lacrosse
Brett Makar,Yorktown,DF,0,,2019,,,,,5606,https://on3static.com/uploads/assets/719/133/133719.jpg,https://www.on3.com/db/brett-makar-175277/,college_mens_lacrosse
Daniel Maltz,Riverside,AT,0,,2020,,,,,3790,https://on3static.com/uploads/assets/752/133/133752.jpg,https://www.on3.com/db/daniel-maltz-175287/,college_mens_lacrosse
John Geppert,Landon School,MF,0,,2019,,,,,3264,https://on3static.com/uploads/assets/729/133/133729.jpg,https://www.on3.com/db/john-geppert-175281/,college_mens_lacrosse
Jack Koras,Loyola Blakefield,MF,0,,2021,,,,,2397,https://on3static.com/uploads/assets/764/133/133764.jpg,https://www.on3.com/db/jack-koras-175290/,college_mens_lacrosse
King Ripley,St. Mary's Ryken,MF,0,,2020,,,,,1940,https://on3static.com/uploads/assets/821/133/133821.jpg,https://www.on3.com/db/king-ripley-175306/,college_mens_lacrosse
Ryan Siracusa,Centennial,AT,0,,2020,,,,,1831,https://on3static.com/uploads/assets/727/133/133727.jpg,https://www.on3.com/db/ryan-siracusa-175280/,college_mens_lacrosse
Chase Cope,Severna Park Sr,MF,0,,2019,,,,,1411,https://on3static.com/uploads/assets/816/133/133816.jpg,https://www.on3.com/db/chase-cope-175305/,college_mens_lacrosse
Eric Spanos,Malvern Prep,AT,0,,2022,,,,,5444,https://on3static.com/uploads/assets/724/133/133724.jpg,https://www.on3.com/db/eric-spanos-175279/,college_mens_lacrosse
Graham Bundy Jr.,Mary Institute and Saint Louis Country Day School,MF,0,,2019,,,,,3507,https://on3static.com/uploads/assets/992/118/118992.png,https://www.on3.com/db/graham-bundy-jr-174134/,college_mens_lacrosse
Joshua Coffman Coffman,Severna Park Sr,MF,0,,2019,,,,,4008,https://on3static.com/uploads/assets/812/133/133812.jpg,https://www.on3.com/db/joshua-coffman-coffman-175303/,college_mens_lacrosse
Charlie Koras,Loyola Blakefield,AT,0,,2022,,,,,3202,https://on3static.com/uploads/assets/737/133/133737.jpg,https://www.on3.com/db/charlie-koras-175284/,college_mens_lacrosse
Daniel Kelly,Calvert Hall College,AT,0,,2021,,,,,3194,https://on3static.com/uploads/assets/730/133/133730.jpg,https://www.on3.com/db/daniel-kelly-175282/,college_mens_lacrosse
Grayson Sallade,Manheim Township,MF,0,,2018,,,,,2975,https://on3static.com/uploads/assets/992/152/152992.png,https://www.on3.com/db/grayson-sallade-177384/,college_mens_lacrosse
Kevin Tucker,Loyola Blakefield,MF,0,,2022,,,,,2763,https://on3static.com/uploads/assets/721/133/133721.jpg,https://www.on3.com/db/kevin-tucker-175278/,college_mens_lacrosse
Alex Wicks,Lake Shore Christian Academy,MF,0,,2021,,,,,2257,https://on3static.com/uploads/assets/747/133/133747.jpg,https://www.on3.com/db/alex-wicks-175286/,college_mens_lacrosse
Will Bowen,Boston College,MF,0,,2018,,,,,5907,https://on3static.com/uploads/assets/83/119/119083.png,https://www.on3.com/db/will-bowen-174156/,college_mens_lacrosse
Michael Roche,North Andover,MF,0,,2020,,,,,1986,https://on3static.com/uploads/assets/760/133/133760.jpg,https://www.on3.com/db/michael-roche-175289/,college_mens_lacrosse
Colin Burlace,St. Mary's Ryken,DF,0,,2022,,,,,1429,https://on3static.com/uploads/assets/766/133/133766.jpg,https://www.on3.com/db/colin-burlace-175292/,college_mens_lacrosse
Jack McDonald,South Side,MF,0,,2021,,,,,1428,https://on3static.com/uploads/assets/741/133/133741.jpg,https://www.on3.com/db/jack-mcdonald-175285/,college_mens_lacrosse
