name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,recruiting_rating,national_rank,state,followers,headshot_url,profile_url,category
Harper Murray,Skyline,OH,154034,,2023,,,,,573102,https://on3static.com/uploads/assets/420/553/553420.png,https://www.on3.com/db/harper-murray-176039/,college_volleyball
Lexi Rodriguez,Sterling,L,142466,,2021,,,,,500303,https://on3static.com/uploads/assets/785/343/343785.png,https://www.on3.com/db/lexi-rodriguez-175960/,college_volleyball
Madisen Skinner,Faith West Academy,OH,114731,,2019,,,,,176350,https://on3static.com/uploads/assets/554/316/316554.jpg,https://www.on3.com/db/madisen-skinner-236903/,college_volleyball
Laney Choboy,Leesville Road,DS,106402,,2023,,,,,393243,https://on3static.com/uploads/assets/847/548/548847.png,https://www.on3.com/db/laney-choboy-176048/,college_volleyball
Ally Batenhorst,Seven Lakes,OH,0,,2021,,,,,363388,https://on3static.com/uploads/assets/67/271/271067.png,https://www.on3.com/db/ally-batenhorst-175956/,college_volleyball
Maisie Boesiger,Norris,DS,0,,2022,,,,,364187,https://on3static.com/uploads/assets/848/548/548848.png,https://www.on3.com/db/maisie-boesiger-176017/,college_volleyball
Merritt Beason,Gardendale,OPP,0,,2021,,,,,189132,https://on3static.com/uploads/assets/768/343/343768.png,https://www.on3.com/db/merritt-beason-175961/,college_volleyball
Keonilei Akana,Kamehameha,OH,0,,2020,,,,,58519,https://on3static.com/uploads/assets/305/300/300305.png,https://www.on3.com/db/keonilei-akana-241469/,college_volleyball
Charlotte Glass,Saint Andrew's School,S,0,,2025,,,,,92683,https://on3static.com/uploads/assets/644/490/490644.jpg,https://www.on3.com/db/charlotte-glass-261876/,college_volleyball
Kenzie Knuckles,Yorktown,DS,0,,2019,,,,,73600,https://on3static.com/uploads/assets/3/147/147003.png,https://www.on3.com/db/kenzie-knuckles-176417/,college_volleyball
Devyn Robinson,Ankeny Centennial,MB,0,,2020,,,,,137569,https://on3static.com/uploads/assets/742/130/130742.png,https://www.on3.com/db/devyn-robinson-174982/,college_volleyball
Anna Smrek,Notre Dame College Prep,MB,0,,2021,,,,,67044,https://on3static.com/uploads/assets/231/107/107231.JPG,https://www.on3.com/db/anna-smrek-162426/,college_volleyball
