name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,recruiting_rating,national_rank,state,followers,headshot_url,profile_url,category
Sofia Chepenik,Episcopal,AT,0,,2022,,,,,197208,https://on3static.com/uploads/assets/347/187/187347.png,https://www.on3.com/db/sofia-chepenik-180496/,college_womens_lacrosse
Kait Devir,Ridgewood,GK,0,,2019,,,,,27900,https://on3static.com/uploads/assets/14/119/119014.png,https://www.on3.com/db/kait-devir-174140/,college_womens_lacrosse
Zoe Coleman,Bishop Watterson,AT,0,,2022,,,,,1890,https://on3static.com/uploads/assets/653/122/122653.jpg,https://www.on3.com/db/zoe-coleman-174483/,college_womens_lacrosse
Belle Smith,Westhampton Beach Senior,MF,0,,2020,,,,,19123,https://on3static.com/uploads/assets/883/151/151883.png,https://www.on3.com/db/belle-smith-162474/,college_womens_lacrosse
Danielle Pavinelli,Northport Senior,AT,0,,2021,,,,,2717,https://on3static.com/uploads/assets/324/107/107324.jpeg,https://www.on3.com/db/danielle-pavinelli-162476/,college_womens_lacrosse
Abby Bosco,Suffern Senior,DF,0,,2017,,,,,3734,https://on3static.com/uploads/assets/3/119/119003.png,https://www.on3.com/db/abby-bosco-174136/,college_womens_lacrosse
Ellie Masera,Eastport-South Manor,MF,0,,2019,,,,,3530,https://on3static.com/uploads/assets/340/107/107340.jpg,https://www.on3.com/db/ellie-masera-162481/,college_womens_lacrosse
Katie DeSimone,Unknown,AT,0,,2021,,,,,5418,https://on3static.com/uploads/assets/345/107/107345.jpeg,https://www.on3.com/db/katie-desimone-162484/,college_womens_lacrosse
Izzy Scane,Cranbrook Schools,AT,0,,2018,,,,,4733,https://on3static.com/uploads/assets/197/109/109197.jpg,https://www.on3.com/db/izzy-scane-162714/,college_womens_lacrosse
Amani Kimball-McKavish,Collegiate School,DF,0,,2022,,,,,1150,https://on3static.com/uploads/assets/651/122/122651.jpg,https://www.on3.com/db/amani-kimball-mckavish-174482/,college_womens_lacrosse
Ashley Humphrey,Darien,AT,0,,2020,,,,,3311,https://on3static.com/uploads/assets/315/107/107315.jpeg,https://www.on3.com/db/ashley-humphrey-162469/,college_womens_lacrosse
Emma Ward,Babylon,AT,0,,2021,,,,,8597,https://on3static.com/uploads/assets/847/231/231847.png,https://www.on3.com/db/emma-ward-169872/,college_womens_lacrosse
Emma LoPinto,Manhasset Secondary School,AT,0,,2022,,,,,2893,https://on3static.com/uploads/assets/341/107/107341.jpeg,https://www.on3.com/db/emma-lopinto-162480/,college_womens_lacrosse
Libby May,Hereford,AT,0,,2020,,,,,4412,https://on3static.com/uploads/assets/528/231/231528.png,https://www.on3.com/db/libby-may-237973/,college_womens_lacrosse
Erin Coykendall,Spencerport,AT,0,,2019,,,,,2671,https://on3static.com/uploads/assets/309/107/107309.jpeg,https://www.on3.com/db/erin-coykendall-162455/,college_womens_lacrosse
Cailin Bracken,Ridgewood,AT,0,,2020,,,,,3043,https://on3static.com/uploads/assets/723/158/158723.png,https://www.on3.com/db/cailin-bracken-177866/,college_womens_lacrosse
Natalie Calandra-Ryan,Auburn,AT,0,,2021,,,,,916,https://on3static.com/uploads/assets/337/107/107337.jpg,https://www.on3.com/db/natalie-calandra-ryan-162479/,college_womens_lacrosse
Rachel Clark,Conestoga,AT,0,,2021,,,,,2113,https://on3static.com/uploads/assets/265/107/107265.jpg,https://www.on3.com/db/rachel-clark-162437/,college_womens_lacrosse
