name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,recruiting_rating,national_rank,state,followers,headshot_url,profile_url,category
Lexi Hiltunen,American Heritage,AT,0,,2021,,,,,258799,https://on3static.com/uploads/assets/439/225/225439.png,https://www.on3.com/db/lexi-hiltunen-237736/,college_womens_soccer
Riley Mattingly Parker,Flower Mound,AT,0,,2018,,,,,39418,https://on3static.com/uploads/assets/876/129/129876.jpg,https://www.on3.com/db/riley-mattingly-parker-174926/,college_womens_soccer
Reyna Reyes,Naaman Forest,MF,0,,2019,,,,,30145,https://on3static.com/uploads/assets/894/129/129894.jpg,https://www.on3.com/db/reyna-reyes-174931/,college_womens_soccer
Lauren Brzykcy,San Clemente,GK,0,,2017,,,,,111438,https://on3static.com/uploads/assets/201/130/130201.jpg,https://www.on3.com/db/lauren-brzykcy-172029/,college_womens_soccer
Macy Clem,J.K. Mullen,MF,0,,2019,,,,,46627,https://on3static.com/uploads/assets/187/130/130187.jpg,https://www.on3.com/db/macy-clem-174941/,college_womens_soccer
Reilyn Turner,Laguna Beach,AT,0,,2020,,,,,20899,https://on3static.com/uploads/assets/220/130/130220.jpg,https://www.on3.com/db/reilyn-turner-172047/,college_womens_soccer
Claire Rain,Plant,DF,0,,2021,,,,,38573,https://on3static.com/uploads/assets/859/264/264859.png,https://www.on3.com/db/claire-rain-192041/,college_womens_soccer
Lexi Missimo,Southlake Carroll,MF,0,,2021,,,,,6597,https://on3static.com/uploads/assets/383/225/225383.png,https://www.on3.com/db/lexi-missimo-237731/,college_womens_soccer
Trinity Byars,Shelton School,AT,0,,2021,,,,,5406,https://on3static.com/uploads/assets/356/225/225356.jpg,https://www.on3.com/db/trinity-byars-237728/,college_womens_soccer
Allyson Sentnor,Thayer Academy,AT,0,,2021,,,,,13217,https://on3static.com/uploads/assets/836/129/129836.jpg,https://www.on3.com/db/allyson-sentnor-172298/,college_womens_soccer
Croix Bethune,Alpharetta,MF,0,,2019,,,,,9447,https://on3static.com/uploads/assets/255/107/107255.jpeg,https://www.on3.com/db/croix-bethune-162436/,college_womens_soccer
Lauren McCloskey,Blessed Trinity Catholic,DF,0,,2022,,,,,30889,https://on3static.com/uploads/assets/391/170/170391.png,https://www.on3.com/db/lauren-mccloskey-178781/,college_womens_soccer
Jody Brown,Montverde Academy,AT,0,,2020,,,,,7460,https://on3static.com/uploads/assets/826/129/129826.jpg,https://www.on3.com/db/jody-brown-171311/,college_womens_soccer
Abby Jacobs,Gulf Breeze,DF,0,,2018,,,,,19134,https://on3static.com/uploads/assets/839/149/149839.png,https://www.on3.com/db/abby-jacobs-176864/,college_womens_soccer
Jericho Frigon,Liberty,DF,0,,2021,,,,,19981,https://on3static.com/uploads/assets/103/222/222103.png,https://www.on3.com/db/jericho-frigon-237607/,college_womens_soccer
Isabel Cox,Grimsley,AT,0,,2019,,,,,13291,https://on3static.com/uploads/assets/842/129/129842.jpg,https://www.on3.com/db/isabel-cox-172271/,college_womens_soccer
Michelle Cooper,IMG Academy,AT,0,,2021,,,,,18018,https://on3static.com/uploads/assets/296/107/107296.jpg,https://www.on3.com/db/michelle-cooper-162456/,college_womens_soccer
Felicia Knox,Notre Dame De Sion,MF,0,,2020,,,,,7842,https://on3static.com/uploads/assets/878/129/129878.jpg,https://www.on3.com/db/felicia-knox-174927/,college_womens_soccer
Emily Yaple,Fort Leboeuf,MF,0,,2020,,,,,5916,https://on3static.com/uploads/assets/123/219/219123.jpg,https://www.on3.com/db/emily-yaple-172408/,college_womens_soccer
Madison Young,Cardinal Gibbons,DF,0,,2021,,,,,17425,https://on3static.com/uploads/assets/60/125/125060.jpeg,https://www.on3.com/db/madison-young-174668/,college_womens_soccer
Penelope Hocking,SoCal Blues,AT,0,,2017,,,,,5448,https://on3static.com/uploads/assets/306/107/107306.jpg,https://www.on3.com/db/penelope-hocking-162463/,college_womens_soccer
Ashlynn Serepca,William Amos Hough,AT,0,,2018,,,,,5319,https://on3static.com/uploads/assets/879/129/129879.jpg,https://www.on3.com/db/ashlynn-serepca-174928/,college_womens_soccer
Tori Hansen,Wakefield,DF,0,,2019,,,,,10110,https://on3static.com/uploads/assets/840/129/129840.jpg,https://www.on3.com/db/tori-hansen-172282/,college_womens_soccer
McKinley Crone,Edgewater,GK,0,,2017,,,,,21458,https://on3static.com/uploads/assets/194/130/130194.jpg,https://www.on3.com/db/mckinley-crone-174944/,college_womens_soccer
Ally Lemos,San Dimas,MF,0,,2022,,,,,11309,https://on3static.com/uploads/assets/206/130/130206.jpg,https://www.on3.com/db/ally-lemos-174945/,college_womens_soccer
Anna Haddock,Greenwood,MF,0,,2019,,,,,6617,https://on3static.com/uploads/assets/301/107/107301.jpg,https://www.on3.com/db/anna-haddock-162461/,college_womens_soccer
Maycee Bell,Insight School of Kansas,DF,0,,2018,,,,,11291,https://on3static.com/uploads/assets/175/107/107175.jpeg,https://www.on3.com/db/maycee-bell-162393/,college_womens_soccer
Gessica Skorka,The Colony,DF,0,,2020,,,,,4193,https://on3static.com/uploads/assets/188/130/130188.jpg,https://www.on3.com/db/gessica-skorka-174942/,college_womens_soccer
Brooke Steere,Dexter,DF,0,,2021,,,,,4985,https://on3static.com/uploads/assets/193/130/130193.jpg,https://www.on3.com/db/brooke-steere-174943/,college_womens_soccer
Clara Robbins,Colonial Forge,DF,0,,2016,,,,,3722,https://on3static.com/uploads/assets/615/110/110615.jpg,https://www.on3.com/db/clara-robbins-162897/,college_womens_soccer
Lauren Flynn,Yorktown,DF,0,,2020,,,,,3410,https://on3static.com/uploads/assets/297/107/107297.jpeg,https://www.on3.com/db/lauren-flynn-162458/,college_womens_soccer
Sunshine Fontes,Pearl City,MF,0,,2019,,,,,8359,https://on3static.com/uploads/assets/218/130/130218.jpg,https://www.on3.com/db/sunshine-fontes-174946/,college_womens_soccer
Lauren Donovan,Maine South,MF,0,,2021,,,,,2710,https://on3static.com/uploads/assets/387/170/170387.png,https://www.on3.com/db/lauren-donovan-178780/,college_womens_soccer
Jyllissa Harris,Red Bank Catholic,DF,0,,2018,,,,,13212,https://on3static.com/uploads/assets/206/107/107206.jpeg,https://www.on3.com/db/jyllissa-harris-162411/,college_womens_soccer
Emma Jaskaniec,Menomonee Falls,MF,0,,2019,,,,,2418,https://on3static.com/uploads/assets/377/225/225377.png,https://www.on3.com/db/emma-jaskaniec-237730/,college_womens_soccer
Lilly Reale,Hingham,DF,0,,2021,,,,,7091,https://on3static.com/uploads/assets/203/130/130203.jpg,https://www.on3.com/db/lilly-reale-172041/,college_womens_soccer
Catherine Barry,Tabor Academy,AT,0,,2020,,,,,3933,https://on3static.com/uploads/assets/957/124/124957.png,https://www.on3.com/db/catherine-barry-172410/,college_womens_soccer
Riley Tanner,East Kentwood,AT,0,,2018,,,,,2393,https://on3static.com/uploads/assets/889/129/129889.jpg,https://www.on3.com/db/riley-tanner-174930/,college_womens_soccer
Payton Patrick,Hereford,AT,0,,2021,,,,,3726,https://on3static.com/uploads/assets/118/165/165118.png,https://www.on3.com/db/payton-patrick-172437/,college_womens_soccer
Alexa Spaanstra,Brighton,AT,0,,2017,,,,,5683,https://on3static.com/uploads/assets/298/107/107298.jpg,https://www.on3.com/db/alexa-spaanstra-162450/,college_womens_soccer
Emmie Allen,Laurel Springs School,GK,0,,2021,,,,,10358,https://on3static.com/uploads/assets/873/129/129873.jpg,https://www.on3.com/db/emmie-allen-172267/,college_womens_soccer
Anna Podojil,Indian Hill,AT,0,,2019,,,,,4869,https://on3static.com/uploads/assets/258/107/107258.jpeg,https://www.on3.com/db/anna-podojil-162438/,college_womens_soccer
Hallie Meadows,Mountain Brook,DF,0,,2020,,,,,2395,https://on3static.com/uploads/assets/113/165/165113.png,https://www.on3.com/db/hallie-meadows-172433/,college_womens_soccer
Megan Bornkamp,Mooresville,DF,0,,2020,,,,,3098,https://on3static.com/uploads/assets/202/107/107202.jpeg,https://www.on3.com/db/megan-bornkamp-162401/,college_womens_soccer
Camryn Dixon,Green Hope,DF,0,,2019,,,,,2066,https://on3static.com/uploads/assets/114/165/165114.png,https://www.on3.com/db/camryn-dixon-172419/,college_womens_soccer
Ashley Tutas,Palm Harbor University,AT,0,,2022,,,,,836,https://on3static.com/uploads/assets/402/170/170402.png,https://www.on3.com/db/ashley-tutas-172132/,college_womens_soccer
Josie Curtis,Lakewood Ranch,DF,0,,2020,,,,,203,https://on3static.com/uploads/assets/403/170/170403.png,https://www.on3.com/db/josie-curtis-172121/,college_womens_soccer
Taylor Jacobson,Lake Nona,DF,0,,2021,,,,,1589,https://on3static.com/uploads/assets/124/165/165124.png,https://www.on3.com/db/taylor-jacobson-172428/,college_womens_soccer
Madelyn Desiano,Aliso Niguel,DF,0,,2018,,,,,6607,https://on3static.com/uploads/assets/217/130/130217.jpg,https://www.on3.com/db/madelyn-desiano-172030/,college_womens_soccer
Quincy McMahon,Guerin Catholic,DF,0,,2021,,,,,4334,https://on3static.com/uploads/assets/211/130/130211.jpg,https://www.on3.com/db/quincy-mcmahon-172037/,college_womens_soccer
Maya Zovoko,Kirtland,DF,0,,2020,,,,,29754,https://on3static.com/uploads/assets/806/237/237806.png,https://www.on3.com/db/maya-zovoko-238192/,college_womens_soccer
Lexi Wright,Carlsbad,AT,0,,2021,,,,,5147,https://on3static.com/uploads/assets/221/130/130221.jpg,https://www.on3.com/db/lexi-wright-174947/,college_womens_soccer
Maddie Dahlien,Edina,AT,0,,2022,,,,,3818,https://on3static.com/uploads/assets/848/129/129848.jpg,https://www.on3.com/db/maddie-dahlien-172272/,college_womens_soccer
Mackenzie Evers,West Allegheny,AT,0,,2021,,,,,26856,https://on3static.com/uploads/assets/888/113/113888.jpg,https://www.on3.com/db/mackenzie-evers-163142/,college_womens_soccer
Emily Colton,La Costa Canyon,MF,0,,2021,,,,,2499,https://on3static.com/uploads/assets/852/129/129852.jpg,https://www.on3.com/db/emily-colton-172270/,college_womens_soccer
Jayden Perry,Trabuco Hills,DF,0,,2021,,,,,3957,https://on3static.com/uploads/assets/208/130/130208.jpg,https://www.on3.com/db/jayden-perry-172040/,college_womens_soccer
Jordan Brewster,Hoover,DF,0,,2018,,,,,3163,https://on3static.com/uploads/assets/293/107/107293.jpeg,https://www.on3.com/db/jordan-brewster-162457/,college_womens_soccer
Maddy Anderson,Clear Falls,GK,0,,2020,,,,,1958,https://on3static.com/uploads/assets/36/167/167036.png,https://www.on3.com/db/maddy-anderson-178498/,college_womens_soccer
Juliauna Hayward,Legacy,MF,0,,2022,,,,,2680,https://on3static.com/uploads/assets/506/185/185506.png,https://www.on3.com/db/juliauna-hayward-171960/,college_womens_soccer
Alia Skinner,Fleming Island,GK,0,,2020,,,,,2376,https://on3static.com/uploads/assets/648/217/217648.jpg,https://www.on3.com/db/alia-skinner-172596/,college_womens_soccer
Trinity Watson,Point Loma,DF,0,,2018,,,,,8462,https://on3static.com/uploads/assets/21/113/113021.jpg,https://www.on3.com/db/trinity-watson-163085/,college_womens_soccer
Anna Dunch,Round Rock,DF,0,,2021,,,,,5730,https://on3static.com/uploads/assets/56/336/336056.png,https://www.on3.com/db/anna-dunch-214563/,college_womens_soccer
Mollie Breiner,Broken Arrow,DF,0,,2020,,,,,1408,https://on3static.com/uploads/assets/719/188/188719.png,https://www.on3.com/db/mollie-breiner-171594/,college_womens_soccer
