name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,recruiting_rating,national_rank,state,followers,headshot_url,profile_url,category
Tyran Stokes,Rainier Beach,SF,1664451,33.0,2026,5.0,99.25,1.0,WA,151268,https://on3static.com/uploads/assets/498/216/216498.jpg,https://www.on3.com/db/tyran-stokes-174854/,hs_basketball
Bruce Branch III,Prolific Prep,SF,1432500,46.0,2026,5.0,98.33172043010752,10.0,CA,0,https://on3static.com/uploads/assets/216/347/347216.jpg,https://www.on3.com/db/bruce-branch-iii-244995/,hs_basketball
Caleb Holt,Prolific Prep,SG,1410316,47.0,2026,5.0,98.6462365591398,4.0,CA,33538,https://on3static.com/uploads/assets/29/232/232029.jpg,https://www.on3.com/db/caleb-holt-174844/,hs_basketball
Dylan Mingo,Long Island Lutheran,PG,1317811,61.0,2026,5.0,98.56397849462365,6.0,NY,5924,https://on3static.com/uploads/assets/828/321/321828.png,https://www.on3.com/db/dylan-mingo-179195/,hs_basketball
Anthony Thompson,Western Reserve,SF,1255836,67.0,2026,5.0,98.46559139784947,7.0,OH,2083,https://on3static.com/uploads/assets/473/353/353473.jpg,https://www.on3.com/db/anthony-thompson-241015/,hs_basketball
Deron Rippey Jr.,Blair Academy,PG,1198534,75.0,2026,5.0,98.43870967741935,8.0,NJ,3324,https://on3static.com/uploads/assets/776/457/457776.png,https://www.on3.com/db/deron-rippey-jr-180966/,hs_basketball
Jordan Smith Jr.,Paul VI Catholic,SG,1152116,85.0,2026,5.0,98.65698924731183,3.0,VA,7114,https://on3static.com/uploads/assets/775/457/457775.png,https://www.on3.com/db/jordan-smith-jr-159438/,hs_basketball
Bryson Howard,Heritage,SG,1086713,94.0,2026,5.0,98.34032258064518,9.0,TX,0,https://on3static.com/uploads/assets/777/449/449777.jpeg,https://www.on3.com/db/bryson-howard-259054/,hs_basketball
Baba Oladotun,James Hubert Blake,SF,1053425,99.0,2026,5.0,98.27795698924731,12.0,MD,11338,https://on3static.com/uploads/assets/218/347/347218.jpg,https://www.on3.com/db/baba-oladotun-237822/,hs_basketball
Brandon McCoy,Sierra Canyon,CG,1020525,,2026,5.0,98.27419354838709,13.0,CA,26149,https://on3static.com/uploads/assets/43/468/468043.png,https://www.on3.com/db/brandon-mccoy-235792/,hs_basketball
Caleb Gaskins,Columbus,SF,955213,,2026,5.0,98.14569892473119,14.0,FL,2491,https://on3static.com/uploads/assets/714/470/470714.png,https://www.on3.com/db/caleb-gaskins-179204/,hs_basketball
Cam Williams,St. Mary's,PF,903917,,2026,5.0,98.66236559139786,2.0,AZ,0,https://on3static.com/uploads/assets/49/357/357049.jpeg,https://www.on3.com/db/cam-williams-242281/,hs_basketball
Jason Crowe Jr.,Inglewood,SG,883340,,2026,5.0,98.33172043010752,11.0,CA,16648,https://on3static.com/uploads/assets/18/263/263018.png,https://www.on3.com/db/jason-crowe-jr-236711/,hs_basketball
Christian Collins,St. John Bosco,SF,824395,,2026,5.0,98.60860215053764,5.0,CA,0,https://on3static.com/uploads/assets/129/534/534129.png,https://www.on3.com/db/christian-collins-243724/,hs_basketball
Adonis Ratliff,Archbishop Stepinac,C,787297,,2026,4.0,97.65806451612904,17.0,NY,0,https://on3static.com/uploads/assets/890/403/403890.jpeg,https://www.on3.com/db/adonis-ratliff-244194/,hs_basketball
JJ Andrews,Little Rock Christian Academy,SG,762960,,2026,4.0,97.6258064516129,18.0,AR,7112,https://on3static.com/uploads/assets/665/389/389665.png,https://www.on3.com/db/jj-andrews-237634/,hs_basketball
CJ Rosser,Southeastern Prep,PF,750000,,2027,5.0,98.68387096774194,1.0,FL,0,https://on3static.com/uploads/assets/498/590/590498.jpeg,https://www.on3.com/db/cj-rosser-244513/,hs_basketball
Tay Kinney,Overtime Elite,PG,732627,,2026,4.0,97.77043010752689,16.0,GA,12081,https://on3static.com/uploads/assets/58/241/241058.png,https://www.on3.com/db/tay-kinney-238308/,hs_basketball
Ryan Hampton,DME Academy,SG,700913,,2027,5.0,98.28010752688174,3.0,FL,11598,https://on3static.com/uploads/assets/214/347/347214.jpg,https://www.on3.com/db/ryan-hampton-242257/,hs_basketball
Arafan Diane,Iowa United Prep,C,685723,,2026,4.0,97.30080645161289,20.0,IA,0,https://on3static.com/uploads/assets/943/389/389943.png,https://www.on3.com/db/arafan-diane-241018/,hs_basketball
Moussa Kamissoko,Long Island Lutheran,SF,661388,,2027,5.0,98.2747311827957,4.0,NY,2244,https://on3static.com/uploads/assets/574/349/349574.png,https://www.on3.com/db/moussa-kamissoko-242305/,hs_basketball
Lincoln Cosby,Montverde Academy,SF,645592,,2026,4.0,97.25,22.0,FL,15680,https://on3static.com/uploads/assets/219/347/347219.jpg,https://www.on3.com/db/lincoln-cosby-242253/,hs_basketball
Nasir Anderson,Prolific Prep,PG,623842,,2027,5.0,97.93172043010753,5.0,CA,0,https://on3static.com/uploads/assets/149/457/457149.PNG,https://www.on3.com/db/nasir-anderson-249031/,hs_basketball
Maximo Adams,Sierra Canyon,SF,611659,,2026,4.0,97.22016129032258,23.0,CA,14886,https://on3static.com/uploads/assets/647/459/459647.png,https://www.on3.com/db/maximo-adams-237629/,hs_basketball
Marcus Spears Jr.,Dynamic Prep,PF,595769,,2027,5.0,97.88010752688173,6.0,TX,0,https://on3static.com/uploads/assets/867/344/344867.jpeg,https://www.on3.com/db/marcus-spears-jr-245224/,hs_basketball
Toni Bryant,Zephyrhills Christian Academy,C,584417,,2026,4.0,97.50591397849462,19.0,FL,9003,https://on3static.com/uploads/assets/706/470/470706.png,https://www.on3.com/db/toni-bryant-237641/,hs_basketball
Dawson Battie,St. Mark's,SF,577733,,2027,5.0,97.81182795698925,7.0,TX,3240,https://on3static.com/uploads/assets/601/349/349601.png,https://www.on3.com/db/dawson-battie-242302/,hs_basketball
CJ Ingram,Montverde Academy,SG,557679,,2025,4.0,96.90674742078114,23.0,FL,10397,https://on3static.com/uploads/assets/354/324/324354.png,https://www.on3.com/db/cj-ingram-158068/,hs_basketball
Jaxon Richardson,Columbus,SF,554457,,2026,4.0,96.69800140252455,26.0,FL,4385,https://on3static.com/uploads/assets/27/263/263027.png,https://www.on3.com/db/jaxon-richardson-180962/,hs_basketball
Paul Osaruyi,Bella Vista College Preparatory School,PF,549794,,2027,5.0,97.79784946236558,8.0,AZ,3865,https://on3static.com/uploads/assets/238/266/266238.jpeg,https://www.on3.com/db/paul-osaruyi-239210/,hs_basketball
Qayden Samuels,Bishop McNamara,SG,523520,,2026,4.0,96.43953950444133,28.0,MD,287,https://on3static.com/uploads/assets/750/340/340750.jpeg,https://www.on3.com/db/qayden-samuels-236474/,hs_basketball
Jordan Page,Broughton,SG,523157,,2027,4.0,97.57258064516128,9.0,NC,1371,https://on3static.com/uploads/assets/491/441/441491.jpeg,https://www.on3.com/db/jordan-page-239553/,hs_basketball
Tajh Ariza,Link Academy,SF,506025,,2026,4.0,95.54227442730247,37.0,MO,3797,https://on3static.com/uploads/assets/20/263/263020.png,https://www.on3.com/db/tajh-ariza-179172/,hs_basketball
King Gibson,SPIRE Academy,CG,505721,,2027,4.0,97.3760752688172,10.0,OH,4925,https://on3static.com/uploads/assets/994/346/346994.jpg,https://www.on3.com/db/king-gibson-237657/,hs_basketball
AJ Williams,Eagles Landing,SG,500000,,2028,4.0,97.99462365591398,1.0,GA,0,https://on3static.com/uploads/assets/328/479/479328.jpeg,https://www.on3.com/db/aj-williams-250737/,hs_basketball
Colben Landrew,Wheeler,SG,485034,,2026,4.0,96.85566853669938,25.0,GA,5756,https://on3static.com/uploads/assets/916/292/292916.png,https://www.on3.com/db/colben-landrew-241003/,hs_basketball
Malachi Jordan,Dream City Christian,SF,481839,,2027,4.0,97.04569892473118,11.0,AZ,3085,https://on3static.com/uploads/assets/479/384/384479.png,https://www.on3.com/db/malachi-jordan-242310/,hs_basketball
Colton Hiller,Coatesville,SF,477500,,2028,4.0,97.91774193548386,2.0,PA,0,https://on3static.com/uploads/assets/156/473/473156.jpeg,https://www.on3.com/db/colton-hiller-250743/,hs_basketball
Ethan Taylor,Link Academy,C,453084,,2026,4.0,96.24089527816737,30.0,MO,0,https://on3static.com/uploads/assets/773/457/457773.png,https://www.on3.com/db/ethan-taylor-240196/,hs_basketball
Beckham Black,Southeastern Prep,PG,451958,,2027,4.0,96.88494623655914,12.0,FL,0,https://on3static.com/uploads/assets/770/472/472770.png,https://www.on3.com/db/beckham-black-245259/,hs_basketball
Latrell Allmond,Petersburg,PF,442338,,2026,4.0,96.24446002805048,29.0,VA,4692,https://on3static.com/uploads/assets/890/409/409890.png,https://www.on3.com/db/latrell-allmond-156673/,hs_basketball
Bamba Touray,IMG Academy,C,435492,,2028,4.0,97.86774193548386,4.0,FL,0,https://on3static.com/uploads/assets/252/495/495252.png,https://www.on3.com/db/bamba-touray-250788/,hs_basketball
Gabe Nesmith,Overtime Elite,SF,434730,,2027,4.0,96.70424263674613,13.0,GA,115,https://on3static.com/uploads/assets/587/349/349587.png,https://www.on3.com/db/gabe-nesmith-242275/,hs_basketball
Adan Diggs,Millennium,SG,415895,,2028,4.0,97.80860215053762,5.0,AZ,0,https://on3static.com/uploads/assets/806/495/495806.png,https://www.on3.com/db/adan-diggs-250742/,hs_basketball
Jasiah Jervis,Archbishop Stepinac,SG,413224,,2026,4.0,96.20195184665731,31.0,NY,0,https://on3static.com/uploads/assets/778/418/418778.png,https://www.on3.com/db/jasiah-jervis-241158/,hs_basketball
Bentley Lusakueno,Woodward Academy,PF,397180,,2028,4.0,97.56397849462365,6.0,GA,0,https://on3static.com/uploads/assets/258/495/495258.png,https://www.on3.com/db/bentley-lusakueno-250736/,hs_basketball
Abdou Toure,Notre Dame,SG,394629,,2026,4.0,97.04153810191679,24.0,CT,0,https://on3static.com/uploads/assets/946/336/336946.jpeg,https://www.on3.com/db/abdou-toure-244188/,hs_basketball
Isaiah Hill,Pike,C,393648,,2027,4.0,96.46505376344086,15.0,IN,0,https://on3static.com/uploads/assets/216/420/420216.jpg,https://www.on3.com/db/isaiah-hill-245406/,hs_basketball
Mason Collins,The Tatnall School,SF,379306,,2028,4.0,97.53172043010753,7.0,DE,0,https://on3static.com/uploads/assets/516/544/544516.jpeg,https://www.on3.com/db/mason-collins-250500/,hs_basketball
Miles Sadler,Bella Vista College Preparatory School,PG,376871,,2026,4.0,96.44327956989247,27.0,AZ,0,https://on3static.com/uploads/assets/599/458/458599.png,https://www.on3.com/db/miles-sadler-237751/,hs_basketball
Javon Bardwell,PHHoenix Prep,SF,375934,,2027,4.0,96.36466806919123,16.0,AZ,0,https://on3static.com/uploads/assets/35/347/347035.jpg,https://www.on3.com/db/javon-bardwell-245325/,hs_basketball
Josh Leonard,Wilson,SF,368384,,2027,4.0,96.34354838709677,17.0,SC,4283,https://on3static.com/uploads/assets/821/469/469821.png,https://www.on3.com/db/josh-leonard-237630/,hs_basketball
Shalen Sheppard,Brentwood School,PF,362238,,2028,4.0,97.2263440860215,8.0,CA,0,https://on3static.com/uploads/assets/167/442/442167.png,https://www.on3.com/db/shalen-sheppard-250762/,hs_basketball
Austin Goosby,Dynamic Prep,SF,359912,,2026,4.0,96.14617812061711,32.0,TX,0,https://on3static.com/uploads/assets/74/326/326074.jpeg,https://www.on3.com/db/austin-goosby-241161/,hs_basketball
Elijah Williams,TMI Episcopal,SF,348869,,2026,4.0,95.80828658251518,34.0,TX,2682,https://on3static.com/uploads/assets/437/263/263437.png,https://www.on3.com/db/elijah-williams-180967/,hs_basketball
DJ Okoth,Bartlett,SF,345937,,2028,4.0,96.8725806451613,9.0,TN,0,https://on3static.com/uploads/assets/262/495/495262.png,https://www.on3.com/db/dj-okoth-250757/,hs_basketball
