name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,recruiting_rating,national_rank,state,followers,headshot_url,profile_url,category
Aaliyah Chavez,Monterey,PG,754537,,2025,5.0,94.8125,1.0,TX,115024,https://on3static.com/uploads/assets/988/383/383988.jpg,https://www.on3.com/db/aaliyah-chavez-243714/,hs_womens_basketball
Kaleena Smith,Ontario Christian,PG,0,,2027,4.0,99.5,1.0,CA,100298,https://on3static.com/uploads/assets/383/323/323383.png,https://www.on3.com/db/kaleena-smith-243961/,hs_womens_basketball
Jerzy Robinson,Sierra Canyon,CG,0,,2026,5.0,99.39247311827957,3.0,CA,68433,https://on3static.com/uploads/assets/688/213/213688.png,https://www.on3.com/db/jerzy-robinson-236958/,hs_womens_basketball
Brooklynn Haywood,Union High School,CG,0,,2026,4.0,96.59269637324586,25.0,WA,55742,https://on3static.com/uploads/assets/560/331/331560.png,https://www.on3.com/db/brooklynn-haywood-244651/,hs_womens_basketball
Maddyn Greenway,Providence Academy,PG,0,,2026,5.0,98.44354838709678,9.0,PA,39868,https://on3static.com/uploads/assets/619/406/406619.png,https://www.on3.com/db/maddyn-greenway-244884/,hs_womens_basketball
Mia Pauldo,Morris Catholic,PG,0,,2025,5.0,93.60483870967742,14.0,NJ,36069,https://on3static.com/uploads/assets/203/323/323203.jpg,https://www.on3.com/db/mia-pauldo-243942/,hs_womens_basketball
"Jezelle ""GG"" Banks",Ursuline Academy,CG,0,,2027,4.0,98.64247311827957,4.0,DE,31649,https://on3static.com/uploads/assets/577/320/320577.jpeg,https://www.on3.com/db/jezelle-gg-banks-243603/,hs_womens_basketball
Morghan Reckley,Sandy Creek,PG,0,,2028,4.0,91.6518361581921,15.0,GA,26834,https://on3static.com/uploads/assets/370/515/515370.jpg,https://www.on3.com/db/morghan-reckley-281083/,hs_womens_basketball
Jazzy Davidson,Clackamas,CG,0,,2025,5.0,94.58064516129032,2.0,OR,26681,https://on3static.com/uploads/assets/987/383/383987.jpg,https://www.on3.com/db/jazzy-davidson-243699/,hs_womens_basketball
Aaliyah Crump,Minnetonka,SG,0,,2025,5.0,94.14112903225806,5.0,MN,22358,https://on3static.com/uploads/assets/890/265/265890.png,https://www.on3.com/db/aaliyah-crump-239182/,hs_womens_basketball
Bella Hines,Eldorado,PG,0,,2025,4.0,92.42032873154729,30.0,NM,22402,https://on3static.com/uploads/assets/266/323/323266.jpg,https://www.on3.com/db/bella-hines-243954/,hs_womens_basketball
Jenica Lewis,Johnston,CG,0,,2026,4.0,96.91258884636413,21.0,IA,22980,https://on3static.com/uploads/assets/622/406/406622.png,https://www.on3.com/db/jenica-lewis-244028/,hs_womens_basketball
Jordan Speller,North Pitt,PG,0,,2027,4.0,96.51742755604155,29.0,NC,17538,https://on3static.com/uploads/assets/118/363/363118.jpeg,https://www.on3.com/db/jordan-speller-246037/,hs_womens_basketball
Jacy Abii,Liberty,SG,0,,2026,5.0,98.16129032258064,12.0,TX,16916,https://on3static.com/uploads/assets/620/406/406620.png,https://www.on3.com/db/jacy-abii-245295/,hs_womens_basketball
Kamrah Banks,Crispus Attucks,PG,0,,2026,4.0,88.34057971014494,88.0,IN,14617,https://on3static.com/uploads/assets/374/490/490374.jpg,https://www.on3.com/db/kamrah-banks-261849/,hs_womens_basketball
Lola Lampley,Lawrence Central,SG,0,,2026,4.0,97.21635228722437,17.0,IN,13510,https://on3static.com/uploads/assets/751/359/359751.jpg,https://www.on3.com/db/lola-lampley-245840/,hs_womens_basketball
ZaKiyah Johnson,Sacred Heart Academy,SG,0,,2025,5.0,93.80040322580643,11.0,KY,13512,https://on3static.com/uploads/assets/149/323/323149.jpg,https://www.on3.com/db/zakiyah-johnson-243934/,hs_womens_basketball
Oliviyah Edwards,Elite Sports Academy,PF,0,,2026,5.0,99.19086021505376,4.0,WA,12184,https://on3static.com/uploads/assets/752/359/359752.png,https://www.on3.com/db/oliviyah-edwards-245843/,hs_womens_basketball
Kamora Moore,Chattanooga Christian School,PG,0,,2028,4.0,91.68409422270823,14.0,TN,11778,https://on3static.com/uploads/assets/345/515/515345.jpg,https://www.on3.com/db/kamora-moore-281079/,hs_womens_basketball
