name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,recruiting_rating,national_rank,state,followers,headshot_url,profile_url,category
Sam Leavitt,West Linn,QB,4029364,4.0,2023,4.0,89.49021739130434,381.0,OR,39580,https://on3static.com/uploads/assets/799/349/349799.jpg,https://www.on3.com/db/sam-leavitt-104361/,portal_football_nil
Brendan Sorsby,Lake Dallas,QB,3074907,5.0,2022,3.0,82.98636363636363,1357.0,TX,8460,https://on3static.com/uploads/assets/522/570/570522.png,https://www.on3.com/db/brendan-sorsby-13764/,portal_football_nil
Cam Coleman,Central,WR,2860981,9.0,2024,5.0,99.22225806451614,4.0,AL,65481,https://on3static.com/uploads/assets/602/303/303602.png,https://www.on3.com/db/cam-coleman-154787/,portal_football_nil
Drew Mestemaker,Vandegrift,QB,2489858,11.0,2024,,,,,7338,https://on3static.com/uploads/assets/946/510/510946.png,https://www.on3.com/db/drew-mestemaker-269959/,portal_football_nil
Josh Hoover,Rockwall-Heath,QB,2289390,14.0,2022,3.0,86.65,714.0,TX,12958,https://on3static.com/uploads/assets/11/72/72011.jpeg,https://www.on3.com/db/josh-hoover-67226/,portal_football_nil
Darian Mensah,St Joseph,QB,2161001,16.0,2023,3.0,80.9090909090909,2014.0,CA,29381,https://on3static.com/uploads/assets/133/392/392133.jpg,https://www.on3.com/db/darian-mensah-153939/,portal_football_nil
Byrum Brown,Rolesville,QB,1866346,27.0,2022,3.0,84.05,1158.0,NC,3111,https://on3static.com/uploads/assets/671/494/494671.png,https://www.on3.com/db/byrum-brown-16332/,portal_football_nil
Jordan Seaton,IMG Academy,OT,1664984,32.0,2024,5.0,98.31370967741935,18.0,FL,79878,https://on3static.com/uploads/assets/249/342/342249.png,https://www.on3.com/db/jordan-seaton-65999/,portal_football_nil
Princewill Umanmielen,Manor,EDGE,1409339,48.0,2023,4.0,91.50217391304348,227.0,TX,5189,https://on3static.com/uploads/assets/649/336/336649.png,https://www.on3.com/db/princewill-umanmielen-147578/,portal_football_nil
Rocco Becht,Wiregrass Ranch,QB,1393969,49.0,2022,3.0,87.30597826086957,625.0,FL,26881,https://on3static.com/uploads/assets/376/414/414376.png,https://www.on3.com/db/rocco-becht-101459/,portal_football_nil
